,company_name
0,Accura
1,Adventure Wheels
2,Altius
3,Amez
4,Ampere
5,Aprilia
6,Atlas
7,Avan
8,Avantura
9,Avon
10,Bajaj
11,Benelli
12,Big Dog
13,BMW
14,BSA
15,Cagiva
16,Cal-On
17,Carberry
18,CFMoto
19,Citybyke
20,Demak
21,Doon
22,Ducati
23,Eastman
24,EBike
25,EeVe
26,Eider
27,EKO
28,Enigma
29,Ennes
30,EV Future
31,Evo
32,Evolet
33,FAB Regal Raptor
34,FB Mondial
35,GenXT
36,Global Auto
37,Green Electric
38,Harley-Davidson
39,Hero
40,Hero Electric
41,Hero Honda
42,Hi-Bird
43,Hollister
44,Honda
45,Husqvarna
46,Hyosung
47,Indian
48,Jawa
49,Kanda
50,Kawasaki
51,Keeway
52,Kinetic
53,Komaki
54,Krisaki
55,KTM
56,Lambretta
57,Lectrix
58,LML
59,Lohia
60,Mahindra
61,Morello Yamasaki
62,Moto Guzzi
63,Moto Morini
64,MV Agusta
65,MyEbike
66,Nascent
67,Norton
68,Okinawa
69,Paradise
70,Petra
71,Peugeot
72,Piaggio
73,Revolt
74,RK Motors
75,Royal Enfield
76,Royal Touch
77,Sinic
78,Sree Aswini
79,Suzuki
80,SWM
81,Techno
82,Techo Electra
83,Terra
84,Tork
85,Triumph
86,TVS
87,Ultra Motors
88,UM
89,Vibgyor
90,Victory
91,Vijaya
92,Vyrus
93,Walkman World
94,Xite
95,Yamaha
96,Yash
97,Yezdi
98,YObykes
99,Youth
100,Yukie
101,Vespa
102,Yo
103,Activa
